Timestamp,Topic,Payload
2024-05-13T11:32:12.690382,avr/fcm/location/local,"{""dX"": -1.5368237495422363, ""dY"": -1.4701237678527832, ""dZ"": -2.58896541595459}"
2024-05-13T11:32:12.690382,avr/fcm/battery,"{""voltage"": 14.416000366210938, ""soc"": 55.000001192092896}"
2024-05-13T11:32:12.691445,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.691445,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.968985557556152}"
2024-05-13T11:32:12.691445,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.692348,avr/fcm/attitude/euler,"{""roll"": 1.2519408464431763, ""pitch"": 0.04177400842308998, ""yaw"": 13.967084884643555}"
2024-05-13T11:32:12.703924,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.704923,avr/fcm/location/local,"{""dX"": -1.5370384454727173, ""dY"": -1.4703396558761597, ""dZ"": -2.589078903198242}"
2024-05-13T11:32:12.704923,avr/fusion/hil_gps,"{""time_usec"": 1715617935391887, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563428, ""alt"": 162365, ""eph"": 20, ""epv"": 5, ""vel"": 2, ""vn"": 0, ""ve"": 2, ""vd"": 4, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 760}"
2024-05-13T11:32:12.705923,avr/thermal/reading,"{""data"": ""DgwNDQ0NDAwODg4ODg0NDQ8ODg4ODg0ODw4ODg0ODg4QDg4ODg4ODhAODg4ODg4OEBAPDw8PDw8REBAPEBEQEA==""}"
2024-05-13T11:32:12.705923,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.967084884643555}"
2024-05-13T11:32:12.705923,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.752399,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.755398,avr/fcm/location/local,"{""dX"": -1.5372190475463867, ""dY"": -1.47053062915802, ""dZ"": -2.5891847610473633}"
2024-05-13T11:32:12.756400,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:12.757391,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.757391,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.964020729064941}"
2024-05-13T11:32:12.758385,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.759396,avr/fcm/location/local,"{""dX"": -1.5374438762664795, ""dY"": -1.4707728624343872, ""dZ"": -2.5893166065216064}"
2024-05-13T11:32:12.759396,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.804468,avr/vio/position/ned,"{""n"": -63.2225149211303, ""e"": 20.712084850356852, ""d"": -86.70827209563475}"
2024-05-13T11:32:12.806465,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.807465,avr/fusion/position/ned,"{""n"": -63.2225149211303, ""e"": 20.712084850356852, ""d"": -86.70827209563475}"
2024-05-13T11:32:12.809464,avr/vio/orientation/eul,"{""psi"": 2.4091606668582437, ""theta"": -0.0818567190994251, ""phi"": 0.13431045777033707}"
2024-05-13T11:32:12.810460,avr/vio/heading,"{""degrees"": 7.695422374710387}"
2024-05-13T11:32:12.812457,avr/fusion/geo,"{""lat"": 32.808543299341956, ""lon"": -97.1563427885151, ""alt"": 162.3670827567362}"
2024-05-13T11:32:12.812457,avr/vio/velocity/ned,"{""n"": 0.8569714801559032, ""e"": 0.230467221775993, ""d"": -0.5570917181629952}"
2024-05-13T11:32:12.813953,avr/vio/confidence,"{""tracker"": 85}"
2024-05-13T11:32:12.815069,avr/fusion/attitude/euler,"{""psi"": 2.4091606668582437, ""theta"": -0.0818567190994251, ""phi"": 0.13431045777033707}"
2024-05-13T11:32:12.815069,avr/fusion/attitude/heading,"{""heading"": 7.695422374710387}"
2024-05-13T11:32:12.815069,avr/fcm/attitude/euler,"{""roll"": 1.251705527305603, ""pitch"": 0.04177040606737137, ""yaw"": 13.951139450073242}"
2024-05-13T11:32:12.816181,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.951139450073242}"
2024-05-13T11:32:12.816922,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.816922,avr/fcm/location/local,"{""dX"": -1.537588357925415, ""dY"": -1.4709285497665405, ""dZ"": -2.589404821395874}"
2024-05-13T11:32:12.816922,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.816922,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.951139450073242}"
2024-05-13T11:32:12.816922,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.848821,avr/fcm/location/local,"{""dX"": -1.5377519130706787, ""dY"": -1.4711029529571533, ""dZ"": -2.5895092487335205}"
2024-05-13T11:32:12.848821,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.848821,avr/fusion/velocity/ned,"{""Vn"": 0.8569714801559032, ""Ve"": 0.230467221775993, ""Vd"": -0.5570917181629952}"
2024-05-13T11:32:12.848821,avr/fusion/groundspeed,"{""groundspeed"": 0.8874205643964672}"
2024-05-13T11:32:12.848821,avr/fusion/climbrate,"{""climb_rate_fps"": 109.6635047203856}"
2024-05-13T11:32:12.848821,avr/fusion/hil_gps,"{""time_usec"": 1715617935495328, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563427, ""alt"": 162367, ""eph"": 20, ""epv"": 5, ""vel"": 0, ""vn"": 0, ""ve"": 0, ""vd"": 0, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 769}"
2024-05-13T11:32:12.848821,avr/apriltags/fps,"{""fps"": 4}"
2024-05-13T11:32:12.848821,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.863831,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.947043418884277}"
2024-05-13T11:32:12.863831,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.863831,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:12.863831,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.863831,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.942346572875977}"
2024-05-13T11:32:12.895251,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.895251,avr/fcm/location/local,"{""dX"": -1.5379103422164917, ""dY"": -1.471267819404602, ""dZ"": -2.589603900909424}"
2024-05-13T11:32:12.895251,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.895251,avr/fusion/hil_gps,"{""time_usec"": 1715617935596012, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563427, ""alt"": 162367, ""eph"": 20, ""epv"": 5, ""vel"": 0, ""vn"": 0, ""ve"": 0, ""vd"": 0, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 769}"
2024-05-13T11:32:12.895251,avr/fcm/attitude/euler,"{""roll"": 1.2571285963058472, ""pitch"": 0.040330711752176285, ""yaw"": 13.940474510192871}"
2024-05-13T11:32:12.943204,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.940474510192871}"
2024-05-13T11:32:12.943204,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.946874,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.947662,avr/fcm/location/local,"{""dX"": -1.5380927324295044, ""dY"": -1.4714587926864624, ""dZ"": -2.5897064208984375}"
2024-05-13T11:32:12.948381,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:12.948381,avr/vio/position/ned,"{""n"": -63.57010822505653, ""e"": 20.753327734835896, ""d"": -86.98950844287435}"
2024-05-13T11:32:12.948381,avr/vio/orientation/eul,"{""psi"": 2.407147618516202, ""theta"": -0.08357311330498653, ""phi"": 0.13599831082271344}"
2024-05-13T11:32:12.948381,avr/vio/heading,"{""degrees"": 7.7921292310498265}"
2024-05-13T11:32:12.949292,avr/fusion/position/ned,"{""n"": -63.57010822505653, ""e"": 20.753327734835896, ""d"": -86.98950844287435}"
2024-05-13T11:32:12.949891,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.009000000543892384, ""hdg"": 13.938454627990723}"
2024-05-13T11:32:12.949891,avr/vio/velocity/ned,"{""n"": -2.012975880357086, ""e"": -0.05359939538715958, ""d"": -1.45223622765046}"
2024-05-13T11:32:12.949891,avr/fusion/attitude/euler,"{""psi"": 2.407147618516202, ""theta"": -0.08357311330498653, ""phi"": 0.13599831082271344}"
2024-05-13T11:32:12.949891,avr/fusion/attitude/heading,"{""heading"": 7.7921292310498265}"
2024-05-13T11:32:12.949891,avr/vio/confidence,"{""tracker"": 92}"
2024-05-13T11:32:12.949891,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.009000000543892384, ""abs_alt"": 161.92401123046875}"
2024-05-13T11:32:12.993081,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.993081,avr/fcm/location/local,"{""dX"": -1.5382301807403564, ""dY"": -1.4716037511825562, ""dZ"": -2.589784622192383}"
2024-05-13T11:32:12.996094,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.996094,avr/fcm/location/local,"{""dX"": -1.5384386777877808, ""dY"": -1.471824288368225, ""dZ"": -2.589901924133301}"
2024-05-13T11:32:12.996094,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.010000000707805157, ""hdg"": 13.933176040649414}"
2024-05-13T11:32:12.996094,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:12.996094,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:12.996094,avr/fusion/geo,"{""lat"": 32.808543268000115, ""lon"": -97.1563427841115, ""alt"": 162.36989512052472}"
2024-05-13T11:32:12.996094,avr/fusion/velocity/ned,"{""Vn"": -2.012975880357086, ""Ve"": -0.05359939538715958, ""Vd"": -1.45223622765046}"
2024-05-13T11:32:12.996094,avr/fusion/groundspeed,"{""groundspeed"": 2.013689347959425}"
2024-05-13T11:32:12.996094,avr/fusion/climbrate,"{""climb_rate_fps"": 285.872701412993}"
2024-05-13T11:32:12.996094,avr/fusion/hil_gps,"{""time_usec"": 1715617935696730, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563427, ""alt"": 162369, ""eph"": 20, ""epv"": 5, ""vel"": 2, ""vn"": -2, ""ve"": 0, ""vd"": -1, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 779}"
2024-05-13T11:32:13.041706,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.010000000707805157, ""hdg"": 13.93317985534668}"
2024-05-13T11:32:13.041706,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.042711,avr/fcm/attitude/euler,"{""roll"": 1.2534147500991821, ""pitch"": 0.03976130858063698, ""yaw"": 13.929315567016602}"
2024-05-13T11:32:13.043715,avr/fcm/location/local,"{""dX"": -1.5386205911636353, ""dY"": -1.4720202684402466, ""dZ"": -2.589998245239258}"
2024-05-13T11:32:13.043715,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.044706,avr/thermal/reading,"{""data"": ""Dg0NDQ0NDQ0ODg4ODg0ODg4ODg4ODg4ODw4ODg4ODg4QDg4ODg4ODxAPDg8ODg4OEA8QDg8PDw8REBAQEBAPEA==""}"
2024-05-13T11:32:13.045168,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""alt"": 0.010000000707805157, ""hdg"": 13.929315567016602}"
2024-05-13T11:32:13.045168,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563334, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.046174,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.046174,avr/apriltags/fps,"{""fps"": 4}"
2024-05-13T11:32:13.046174,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:13.046174,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.926480293273926}"
2024-05-13T11:32:13.047174,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.047174,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.048173,avr/fcm/location/local,"{""dX"": -1.5387612581253052, ""dY"": -1.4721720218658447, ""dZ"": -2.5900702476501465}"
2024-05-13T11:32:13.048173,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.049174,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.924574851989746}"
2024-05-13T11:32:13.049174,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.099887,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.923272132873535}"
2024-05-13T11:32:13.100987,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.102016,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.102987,avr/fcm/status,"{""armed"": false, ""mode"": ""LAND""}"
2024-05-13T11:32:13.102987,avr/fusion/hil_gps,"{""time_usec"": 1715617935798236, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563427, ""alt"": 162369, ""eph"": 20, ""epv"": 5, ""vel"": 2, ""vn"": -2, ""ve"": 0, ""vd"": -1, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 779}"
2024-05-13T11:32:13.103981,avr/vio/position/ned,"{""n"": -63.62401384924543, ""e"": 20.742357854384007, ""d"": -87.04521304233164}"
2024-05-13T11:32:13.136188,avr/fusion/position/ned,"{""n"": -63.62401384924543, ""e"": 20.742357854384007, ""d"": -87.04521304233164}"
2024-05-13T11:32:13.136188,avr/fusion/geo,"{""lat"": 32.80854326313954, ""lon"": -97.15634278528277, ""alt"": 162.3704521659575}"
2024-05-13T11:32:13.136188,avr/vio/orientation/eul,"{""psi"": 2.407057446703193, ""theta"": -0.08282107417394292, ""phi"": 0.13518231443801385}"
2024-05-13T11:32:13.137290,avr/fusion/attitude/euler,"{""psi"": 2.407057446703193, ""theta"": -0.08282107417394292, ""phi"": 0.13518231443801385}"
2024-05-13T11:32:13.137290,avr/fcm/status,"{""mode"": ""LAND"", ""armed"": false}"
2024-05-13T11:32:13.137290,avr/sandbox/CIC,"{""Thermal Targeting"": ""Offline"", ""CIC"": ""Online"", ""Autonomous"": ""Online"", ""Recon"": ""Off"", ""Sanity"": ""Gone"", ""Laser"": ""Off""}"
2024-05-13T11:32:13.138249,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.918785095214844}"
2024-05-13T11:32:13.138249,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.139308,avr/fcm/location/local,"{""dX"": -1.5389765501022339, ""dY"": -1.4723998308181763, ""dZ"": -2.5901753902435303}"
2024-05-13T11:32:13.139308,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.139308,avr/vio/heading,"{""degrees"": 7.745376082108606}"
2024-05-13T11:32:13.140298,avr/vio/velocity/ned,"{""n"": -0.26715015936754416, ""e"": 0.04017513669179587, ""d"": -0.3311805382460177}"
2024-05-13T11:32:13.140298,avr/vio/confidence,"{""tracker"": 93}"
2024-05-13T11:32:13.140298,avr/fusion/attitude/heading,"{""heading"": 7.745376082108606}"
2024-05-13T11:32:13.141295,avr/fusion/velocity/ned,"{""Vn"": -0.26715015936754416, ""Ve"": 0.04017513669179587, ""Vd"": -0.3311805382460177}"
2024-05-13T11:32:13.141295,avr/fcm/attitude/euler,"{""roll"": 1.2580187320709229, ""pitch"": 0.03990750387310982, ""yaw"": 13.91802978515625}"
2024-05-13T11:32:13.195177,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.195177,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.91802978515625}"
2024-05-13T11:32:13.196284,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.197292,avr/fcm/location/local,"{""dX"": -1.5391600131988525, ""dY"": -1.4726018905639648, ""dZ"": -2.590264081954956}"
2024-05-13T11:32:13.197292,avr/fusion/groundspeed,"{""groundspeed"": 0.2701541213054295}"
2024-05-13T11:32:13.198292,avr/fusion/climbrate,"{""climb_rate_fps"": 65.19288895372858}"
2024-05-13T11:32:13.198292,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:13.198292,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.198292,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.010000000707805157, ""hdg"": 13.911101341247559}"
2024-05-13T11:32:13.199288,avr/fusion/hil_gps,"{""time_usec"": 1715617935898958, ""fix_type"": 3, ""lat"": 328085432, ""lon"": -971563427, ""alt"": 162370, ""eph"": 20, ""epv"": 5, ""vel"": 0, ""vn"": 0, ""ve"": 0, ""vd"": 0, ""cog"": 700, ""satellites_visible"": 13, ""heading"": 774}"
2024-05-13T11:32:13.199288,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.010000000707805157, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.200176,avr/fcm/location/local,"{""dX"": -1.5393394231796265, ""dY"": -1.472799301147461, ""dZ"": -2.5903499126434326}"
2024-05-13T11:32:13.241908,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.243907,avr/fcm/location/local,"{""dX"": -1.5395441055297852, ""dY"": -1.473026156425476, ""dZ"": -2.5904452800750732}"
2024-05-13T11:32:13.244906,avr/apriltags/fps,"{""fps"": 5}"
2024-05-13T11:32:13.245905,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2024-05-13T11:32:13.245905,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.01100000087171793, ""hdg"": 13.909167289733887}"
2024-05-13T11:32:13.246907,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.01100000087171793, ""abs_alt"": 161.9250030517578}"
2024-05-13T11:32:13.246907,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.248904,avr/fcm/location/local,"{""dX"": -1.539741039276123, ""dY"": -1.473225474357605, ""dZ"": -2.5905349254608154}"
2024-05-13T11:32:13.279806,avr/fcm/location/global,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""alt"": 0.01100000087171793, ""hdg"": 13.904885292053223}"
2024-05-13T11:32:13.279806,avr/fcm/location/global_full,"{""lat"": 32.8085512, ""lon"": -97.1563335, ""rel_alt"": 0.01100000087171793, ""abs_alt"": 161.92601013183594}"
2024-05-13T11:32:13.279806,avr/fcm/attitude/euler,"{""roll"": 1.2581194639205933, ""pitch"": 0.03985876962542534, ""yaw"": 13.903026580810547}"
2024-05-13T11:32:13.279806,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2024-05-13T11:32:13.279806,avr/vio/position/ned,"{""n"": -63.531096375595695, ""e"": 20.761695640577102, ""d"": -87.08113940282114}"
2024-05-13T11:32:13.279806,avr/vio/orientation/eul,"{""psi"": 2.4066019670655106, ""theta"": -0.0826945127891988, ""phi"": 0.13645135303594685}"
2024-05-13T11:32:13.279806,avr/fcm/location/local,"{""dX"": -1.539963722229004, ""dY"": -1.4734443426132202, ""dZ"": -2.590636968612671}"
2024-05-13T11:32:13.292278,avr/fusion/position/ned,"{""n"": -63.531096375595695, ""e"": 20.761695640577102, ""d"": -87.08113940282114}"
